cluster_file,voxel_size,vol_voxel_filled,n_voxels_filled,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.026094308815904597,1.043902766511011,58752,95462,0.7518266000006406
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.031383206227714434,1.480750344090655,47906,95462,0.4374714289988333
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.03774407822333079,2.0413545236631996,37964,95462,0.255642842999805
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.045394196838653124,2.742989975071699,29324,95462,0.15128079599890043
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.054594871662613426,3.6112037439724363,22192,95462,0.08950023500074167
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.06566037554208358,4.684700628884253,16549,95462,0.05201794999993581
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.07896867938385171,6.0162960599822615,12217,95462,0.03664827100146795
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.09497436272859426,7.61760796935167,8892,95462,0.025032633000591886
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.1142241410908933,9.630318638310701,6462,95462,0.01751903700096591
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.13737554044175906,12.327606500825485,4755,95462,0.013408611001068493
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.16521935670891194,15.514622870208449,3440,95462,0.010816547999638715
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.19870666745714863,19.26144282225972,2455,95462,0.009184766000544187
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.23898131840260367,24.06268968529685,1763,95462,0.008534987000530236
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.28741899442183,30.747949933382365,1295,95462,0.007715779000136536
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.34567420962707324,37.00913590279625,896,95462,0.00763714100139623
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.4157368215753044,46.34631285052002,645,95462,0.00709519299925887
config1_leaf00cm_tol40cm_cluster_05_ndvi.las,0.5,57.0,456,95462,0.007222578000437352
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.015,0.26216324999999996,77678,95017,3.8171951149997767
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.018040259151405193,0.4340475139819937,73928,95017,2.197920514001453
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.02169673001665726,0.6986983989011805,68408,95017,1.2687045070015301
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.026094308815904597,1.0767912472574006,60603,95017,0.7403195210008562
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.031383206227714434,1.5111343792478613,48889,95017,0.4309015599992563
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.03774407822333079,2.067917297203649,38458,95017,0.2502911359988502
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.045394196838653124,2.752250512772289,29423,95017,0.14391609599988442
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.054594871662613426,3.603555646641565,22145,95017,0.09156015099870274
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.06566037554208358,4.624970625095832,16338,95017,0.055072265000490006
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.07896867938385171,5.8542790833321705,11888,95017,0.03532570400057011
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.09497436272859426,7.415431239620789,8656,95017,0.024586596999142785
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.1142241410908933,9.478308037705983,6360,95017,0.017632472001423594
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.13737554044175906,11.736503602363191,4527,95017,0.01363930099978461
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.16521935670891194,14.905764123848524,3305,95017,0.011222252000152366
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.19870666745714863,18.42194205566836,2348,95017,0.009563231000356609
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.23898131840260367,23.939851224055968,1754,95017,0.00882294099938008
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.28741899442183,29.3470780831356,1236,95017,0.008146203001160757
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.34567420962707324,36.22434395842892,877,95017,0.007668365999052185
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.4157368215753044,45.41220111864908,632,95017,0.007286697000381537
config1_leaf00cm_tol40cm_cluster_06_ndvi.las,0.5,55.5,444,95017,0.007216997999421437
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.015,0.24289874999999997,71970,90680,3.7861489150000125
