cluster_file,voxel_size,vol_voxel,n_voxels,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.11741453286048854,10.429264817220867,6443,103085,0.07344456999999238
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.13572088082974532,12.592499999999996,5037,103085,0.07557518999965396
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.1568814102006323,14.82674020748523,3840,103085,0.07375171800049429
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.1813411224276773,17.90788227583328,3003,103085,0.07625199699941732
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.20961440008267682,21.081870250969608,2289,103085,0.07581013499839173
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.24229582421132284,24.907144162598986,1751,103085,0.07762878799985629
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.28007267824676524,30.009788361139968,1366,103085,0.07649203400069382
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.32373940143476265,35.42314989656353,1044,103085,0.0751887850001367
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.3742142957228954,41.2940368162873,788,103085,0.08967781100000138
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.4325588374561865,52.04110878063803,643,103085,0.07900222299940651
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.5,57.5,460,103085,0.07511489699936647
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.01,0.08805500000000001,88055,101210,0.07523871900048107
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.011559121134605051,0.13413720976669788,86851,101210,0.07209237499955634
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.013361328140447326,0.20300609110450485,85106,101210,0.07019857600062096
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.01544452104946379,0.30363787611794063,82420,101210,0.07273355799952697
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.01785250896767095,0.4491251683551689,78935,101210,0.07273027600058413
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.02063593137139315,0.6490550419776862,73860,101210,0.07508543000039936
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.023853323044733008,0.9133200954556882,67294,101210,0.07606407499952184
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.027572345053693506,1.2366411147277596,58996,101210,0.07638952100023744
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.031871207644077165,1.615200621638316,49892,101210,0.07500791400161688
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.03684031498640387,2.06215,41243,101210,0.08233085599931655
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.042584166356484814,2.576300556261053,33362,101210,0.07806947599965497
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.0492235537330781,3.1941984889201933,26782,101210,0.07637869600148406
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.05689810202763908,3.916309684629662,21261,101210,0.07688872400103719
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.06576920536665974,4.7908201907272066,16840,101210,0.07862035899961484
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.07602342117599367,5.788857418126196,13175,101210,0.07524368799931835
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.08787639344404101,6.906157021021589,10177,101210,0.0749553260011453
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.10157738766918833,8.297586027272759,7917,101210,0.07599263100019016
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.11741453286048854,10.000310110319807,6178,101210,0.07238193199918896
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.13572088082974532,11.969999999999995,4788,101210,0.07606226400093874
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.1568814102006323,14.239848407605606,3688,101210,0.0748993259985582
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.1813411224276773,16.995492669372243,2850,101210,0.07248614000127418
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.20961440008267682,20.059551510096902,2178,101210,0.07462968099935097
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.24229582421132284,24.09634620870513,1694,101210,0.07502733900037128
