cluster_file,voxel_size,vol_voxel,n_voxels,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.04336244396414017,2.6985463684063835,33097,104017,0.08321885900113557
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.051039236424475005,3.46234358630861,26041,104017,0.08559745899947302
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.06007511147083267,4.359876928374473,20109,104017,0.08572484599972086
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.07071067811865475,5.4153772837171745,15317,104017,0.08836171900111367
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.08322914227845538,6.706840607058634,11633,104017,0.08904195799914305
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.09796384801717632,8.266745749377163,8793,104017,0.09021694199873309
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.11530715390799683,10.159813333572927,6627,104017,0.08436388699919917
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.13572088082974532,12.199999999999996,4880,104017,0.10442728999987594
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.1597486094219211,14.990112391803292,3677,104017,0.08462774200052081
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.18803015465431966,18.102149659226498,2723,104017,0.08429956500003755
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.22131860294287997,22.07148397774735,2036,104017,0.0798687959995732
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.26050036547934563,26.976123702266776,1526,104017,0.08187689700025658
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.3066187817586519,33.179633537026085,1151,104017,0.0814236370006256
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.3609019018232971,40.33246817335156,858,104017,0.0800341070007562
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.4247951870156353,47.98583934522902,626,104017,0.0868158899993432
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.5,56.875,455,104017,0.08617609400062065
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.01,0.08706600000000002,87066,103085,0.08524443300120765
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.011770378179487158,0.1394875413524572,85539,103085,0.08459171100003005
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.01385418024881474,0.22152297899544962,83306,103085,0.0816295300010097
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.016306894089533095,0.3462751325200377,79856,103085,0.08320839599946339
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.019193831036664843,0.5325291879794006,75311,103085,0.08355934099927254
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.022591865001472325,0.7921486166325477,68699,103085,0.08484767400113924
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.026591479484724942,1.137375602488514,60489,103085,0.08990665100100159
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.03129917698872869,1.5554770798616415,50730,103085,0.08421108499896945
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.03684031498640387,2.0689,41378,103085,0.08116383900051005
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.04336244396414017,2.6967526100565347,33075,103085,0.0828891589990235
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.051039236424475005,3.4487819317714004,25939,103085,0.0850023710008827
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.06007511147083267,4.328655968720293,19965,103085,0.08476506000079098
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.07071067811865475,5.431640739684465,15363,103085,0.09325554099996225
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.08322914227845538,6.740856217461493,11692,103085,0.08645755500037922
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.09796384801717632,8.31751389113383,8847,103085,0.08948594399953436
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.11530715390799683,10.113820516309131,6597,103085,0.08251112299876695
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.13572088082974532,12.592499999999996,5037,103085,0.08442493999973522
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.1597486094219211,15.283636485414887,3749,103085,0.0811012699996354
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.18803015465431966,18.341472974589024,2759,103085,0.08377752700107521
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.22131860294287997,22.602673916308063,2085,103085,0.07872036399930948
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.26050036547934563,27.75394116157198,1570,103085,0.08258061400010774
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.3066187817586519,33.58320857570407,1165,103085,0.08174959200005105
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.3609019018232971,40.89655863731451,870,103085,0.08417401000042446
