cluster_file,rmax,n_slices,vol_slice,n_slices_used,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.766309432393553,30,19.836275691583364,30,105254,0.6048380530000941
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,0.9088533381603999,30,21.292072216883493,30,105254,0.6123555369995302
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,1.0779123358892524,30,22.624641523350075,30,105254,0.6216478690002987
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,1.2784185908520773,30,24.118725413683382,30,105254,0.6225419630000033
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,1.5162217176853316,30,25.388490823616795,30,105254,0.6089815039995301
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,1.7982594383647084,30,26.63755560638351,30,105254,0.6379341239999121
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,2.1327599848684327,30,27.897438220616774,30,105254,0.6171717429997443
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,2.5294821514699986,30,28.82922734703344,30,105254,0.6170020179997664
config1_leaf00cm_tol40cm_cluster_00_ndvi.las,3.0,30,30.119014612116786,30,105254,0.6053183109997917
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.05,30,2.51416664273333,30,104017,0.8462246090002736
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.05930067540220754,30,2.6950906102333105,30,104017,0.8368947700000717
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.07033140206315962,30,2.92218155536663,30,104017,0.8050839279994761
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.08341399288659158,30,3.218431972966641,30,104017,0.7715400080005566
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.09893012232339628,30,3.674834512333306,30,104017,0.7442955330006953
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.1173324614280082,30,4.29428751149998,30,104017,0.733417147000182
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.13915788418568703,30,4.813287800666681,30,104017,0.744597406000139
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.16504313039506832,30,5.75911627209999,30,104017,0.7036480329998085
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.19574338205844316,30,6.6152956379332295,30,104017,0.7150823209994996
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.23215429523156061,30,7.8820049995665995,30,104017,0.6756389590000254
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.27533813009510066,30,9.161880194366503,30,104017,0.66615050099972
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.32655474157240716,30,11.068995958533188,30,104017,0.6488767699993332
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.38729833462074165,30,13.287269962799803,30,104017,0.6291184889996657
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.4593410565032031,30,15.33246682666654,30,104017,0.6145912280007906
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.5447846978120705,30,17.40999536543318,30,104017,0.6129817050004931
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.646122010580866,30,19.447443173933195,30,104017,0.6035147590000633
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.766309432393553,30,21.204802808999784,30,104017,0.5947737880005661
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,0.9088533381603999,30,22.87814678909971,30,104017,0.5910628210003779
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1.0779123358892524,30,24.5774398261665,30,104017,0.6165538200002629
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1.2784185908520773,30,26.16546118593315,30,104017,0.5977582229998006
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1.5162217176853316,30,27.585650178866413,30,104017,0.5880379459995311
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,1.7982594383647084,30,28.976466641033063,30,104017,0.5900052180004423
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,2.1327599848684327,30,30.037573881633058,30,104017,0.6025574559998859
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,2.5294821514699986,30,31.348054210966335,30,104017,0.5890945710007145
config1_leaf00cm_tol40cm_cluster_01_ndvi.las,3.0,30,32.87539766703314,30,104017,0.6086409399995318
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.05,30,2.4248345005499776,30,103085,0.8342930230001002
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.05930067540220754,30,2.696894796749987,30,103085,0.8227790410001035
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.07033140206315962,30,2.9408137296999817,30,103085,0.7894632360003015
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.08341399288659158,30,3.207211322699995,30,103085,0.754075250999449
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.09893012232339628,30,3.5691464500999897,30,103085,0.7496865709999838
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.1173324614280082,30,3.972825083149976,30,103085,0.715107189000264
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.13915788418568703,30,4.779408445350018,30,103085,0.6923910150007941
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.16504313039506832,30,5.412530739000056,30,103085,0.7083135140001104
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.19574338205844316,30,6.501527956000004,30,103085,0.675841094000134
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.23215429523156061,30,7.865813132100038,30,103085,0.6628863369996907
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.27533813009510066,30,10.170026532049992,30,103085,0.6471314680002251
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.32655474157240716,30,12.311151648949998,30,103085,0.6284790540003087
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.38729833462074165,30,14.328763117900019,30,103085,0.6158198140001332
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.4593410565032031,30,16.15986865955004,30,103085,0.6350009600000703
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.5447846978120705,30,17.485841315250028,30,103085,0.5938690099992527
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.646122010580866,30,18.839016942900116,30,103085,0.6030319179999424
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.766309432393553,30,20.959601420450085,30,103085,0.5867146529999445
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,0.9088533381603999,30,22.768302245150007,30,103085,0.5818656199999168
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,1.0779123358892524,30,24.21024182114988,30,103085,0.5646312810004019
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,1.2784185908520773,30,26.05496932499993,30,103085,0.5740657500000452
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,1.5162217176853316,30,27.925761856299985,30,103085,0.5779313549992366
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,1.7982594383647084,30,29.07022092975001,30,103085,0.5661663490000137
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,2.1327599848684327,30,30.10366007109997,30,103085,0.5737924429995473
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,2.5294821514699986,30,30.99777173569994,30,103085,0.5743719530000817
config1_leaf00cm_tol40cm_cluster_02_ndvi.las,3.0,30,31.653560469299872,30,103085,0.5984579380001378
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.05,30,2.407702002666669,30,101210,0.8194674529995609
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.05930067540220754,30,2.617634399600013,30,101210,0.7881775199994081
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.07033140206315962,30,2.855307903066689,30,101210,0.7751538249995065
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.08341399288659158,30,3.128469513466689,30,101210,0.7534446170002411
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.09893012232339628,30,3.514461906400032,30,101210,0.7352747659997476
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.1173324614280082,30,3.8939248272000473,30,101210,0.7012915859995701
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.13915788418568703,30,4.397466790666697,30,101210,0.6870261750000282
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.16504313039506832,30,5.182927186399972,30,101210,0.6807211409995944
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.19574338205844316,30,5.8669271297333445,30,101210,0.6850626750001538
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.23215429523156061,30,7.202336955600029,30,101210,0.6497828800002026
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.27533813009510066,30,9.102272162533326,30,101210,0.628156229000524
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.32655474157240716,30,10.94700919346671,30,101210,0.6159894709999207
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.38729833462074165,30,12.63420910933342,30,101210,0.6420651489997908
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.4593410565032031,30,14.753368180800017,30,101210,0.5985972109992872
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.5447846978120705,30,16.77108566333337,30,101210,0.607636353000089
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.646122010580866,30,18.746047178933324,30,101210,0.603583420999712
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.766309432393553,30,20.18795400280005,30,101210,0.5927678260004541
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.9088533381603999,30,21.410837365600045,30,101210,0.5939436769995154
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,1.0779123358892524,30,23.07437247826675,30,101210,0.5897794109996539
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,1.2784185908520773,30,25.501821484,30,101210,0.5864333169993188
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,1.5162217176853316,30,26.914972288399944,30,101210,0.592138936000083
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,1.7982594383647084,30,28.078010134666666,30,101210,0.5860612489996129
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,2.1327599848684327,30,29.299606274533446,30,101210,0.587918303999686
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,2.5294821514699986,30,31.37797539466684,30,101210,0.599241887000062
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,3.0,30,32.33272455306684,30,101210,0.5595635640002001
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.05,30,2.3867414085000345,30,100102,0.7865164539998659
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.05930067540220754,30,2.558258595900035,30,100102,0.7648676620001424
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.07033140206315962,30,2.7951145959000474,30,100102,0.742848058999698
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.08341399288659158,30,3.022662447000052,30,100102,0.721912113000144
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.09893012232339628,30,3.318846996900068,30,100102,0.7110878559997218
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.1173324614280082,30,3.7687206081000535,30,100102,0.7159979339994607
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.13915788418568703,30,4.522369920600103,30,100102,0.6784463399999368
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.16504313039506832,30,5.189254293300106,30,100102,0.6486643749994982
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.19574338205844316,30,6.010498680300109,30,100102,0.6469461719998435
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.23215429523156061,30,7.45782720090006,30,100102,0.6154406259993266
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.27533813009510066,30,9.087231515699997,30,100102,0.6074195529999997
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.32655474157240716,30,11.06762202000001,30,100102,0.6018349770001805
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.38729833462074165,30,12.949647103200046,30,100102,0.6011792660001447
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.4593410565032031,30,14.874745575900079,30,100102,0.5978924709997955
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.5447846978120705,30,16.58182006050014,30,100102,0.5937266679993627
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.646122010580866,30,18.284753234699984,30,100102,0.5926683670004422
